feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
technical_plus_textblob,random_forest,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.48060344827586204,0.5104895104895105,0.29918032786885246,0.3772609819121447,0.48086810730253354,-0.020548181031506692
technical_plus_textblob,random_forest,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.48464912280701755,0.5336538461538461,0.4457831325301205,0.48577680525164113,0.4661738742409251,-0.022806832215413967
technical_plus_textblob,random_forest,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5761316872427984,0.43609022556390975,0.6744186046511628,0.5296803652968036,0.6245000740631017,0.18897608861105186
technical_plus_textblob,xgboost,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5395256916996047,0.4517766497461929,0.4158878504672897,0.43309002433090027,0.484204967353732,0.046631374464682504
technical_plus_textblob,xgboost,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5584158415841585,0.5685279187817259,0.448,0.5011185682326622,0.5619921568627451,0.11753543285756225
technical_plus_textblob,xgboost,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4547413793103448,0.48249027237354086,0.5081967213114754,0.49500998003992014,0.4389903129657228,-0.0967833227666128
technical_plus_textblob,xgboost,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4583333333333333,0.5038167938931297,0.5301204819277109,0.5166340508806262,0.40403158527831134,-0.0985850110107284
technical_plus_textblob,xgboost,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6481481481481481,0.5021097046413502,0.6918604651162791,0.5819070904645477,0.6854725225892462,0.30236437947015754
technical_plus_textblob,svc_rbf,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.48221343873517786,0.4166666666666667,0.5607476635514018,0.47808764940239046,0.4821565740622199,-0.01456035739677216
technical_plus_textblob,svc_rbf,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5207920792079208,0.5158730158730159,0.52,0.5179282868525896,0.5539686274509804,0.041566671418348626
technical_plus_textblob,svc_rbf,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4849137931034483,0.5125628140703518,0.4180327868852459,0.4604966139954853,0.4755402384500745,-0.023080363163684156
technical_plus_textblob,svc_rbf,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.506578947368421,0.5638297872340425,0.42570281124497994,0.4851258581235698,0.5045495993636382,0.029905688068039893
technical_plus_textblob,svc_rbf,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5061728395061729,0.38741721854304634,0.6802325581395349,0.4936708860759494,0.5473078062509258,0.08977328017824632
technical_plus_finbert,naive_most_frequent,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5770750988142292,0.0,0.0,0.0,0.5,0.0
